Số 323





	Khi đến nhà Karmis, Sirone kiểm tra lại trang phục rồi bước về phía cổng vòm của cổng chính.
	Các mạng lưới điện từ nhấp nháy theo những mô hình vô tận, mở ra những vùng đất mới.





	* * *





	Đến Les Mountains vào lúc rạng sáng, Sirone và Amy dùng bữa tại một quầy hàng thực phẩm và hòa mình vào đám đông trước khi đến quầy bán vé của lâu đài cổ.



	Lối vào quầy bán vé cũng đông nghẹt khách du lịch.



	Shirone xếp hàng, mua vé và bước vào. Mắt cô mở to trước cảnh tượng diễn ra trước mắt.



	"Ồ……."



	Khu vực lâu đài cổ đã được phục hồi hoàn hảo bằng cách sử dụng băng làm vật liệu thay vì đá hoặc đất.



	Khi ánh sáng mặt trời phản chiếu xuống mặt đất, mọi cảnh tượng đều lấp lánh như kim cương.



	Ngay cả Amy, người luôn hăng hái, cũng phải đỏ mặt khi chứng kiến cảnh tượng đó.



	Shirone cảm thấy hài lòng.



	Khi tôi đưa anh ấy đến Galliant Ruins, mọi thứ đã sai ngay từ đầu và tôi đã rất xấu hổ. Tôi không chỉ chiến đấu với Parrot Mercenaries mà còn đi theo họ đến Thiên đường và gần như chết.



	Tôi tự hứa với lòng mình rằng lần này tôi sẽ có một chuyến đi thú vị, dù chỉ để bù đắp lại những khó khăn mà tôi đã phải chịu đựng lúc đó.



	“Đi thôi. Sẽ vui lắm đây.”



	Shirone và Amy đi dọc theo cánh đồng tuyết.



	Cây cầu vồng nối liền các tòa tháp, lan can dọc theo tường thành và cầu thang lắp đặt bên trong lâu đài đều được làm bằng băng.



	'Đó là lý do tại sao nó được gọi là Lễ hội mùa đông.'



	Công trường này phải đóng cửa vào đầu mùa xuân vì các công trình sẽ sụp đổ nếu nhiệt độ tăng cao.



	Sau đó, khi mùa hè cuối cùng cũng đến, băng tan và biến mất, chỉ còn lại tàn tích đổ nát của lâu đài.



	Như thể ký ức về một ngày mùa đông là giấc mơ đêm giữa mùa hè.



	“Shirone, chúng ta thử xem.”



	Amy chỉ vào một quầy hàng tạm thời bán kem, một đặc sản của lễ hội mùa đông.



	Shirone đưa kem lạnh vào miệng và nhai. Nó được làm bằng cách trộn siro dâu tây vào tuyết trắng và đông lạnh. Kết cấu giòn và hương vị dâu tây ngọt ngào kết hợp lại tạo nên hương vị thơm ngon.



	“Được rồi, tôi đã mua đồ ăn rồi. Tôi nên bắt đầu tìm kiếm từ đâu đây?”



	“Tất nhiên là chúng ta phải đi xem Nữ hoàng băng giá trước đã.”



	Amy đưa Shirone đến lâu đài chính.



	Tòa nhà chính là tòa nhà ít bị hư hại nhất trong đống đổ nát. Nó có một hội trường 120 pyeong với cầu thang ở cả hai bên, nhưng cầu thang bên trái đã sụp đổ từ lâu và đã được sửa chữa bằng cách khắc băng.



	Sẽ thật lạ nếu trời ấm đến mức băng không tan chảy? Chắc chắn là ấm hơn bên ngoài vì có nhiều người tụ tập ở đó.



	Shirone và Amy bước vào hành lang 1,5 tầng nối liền hai cánh. Nữ hoàng băng giá đang ngồi trên lan can trung tâm nhô ra ngoài hành lang.



	Shirone tiến đến gần Nữ hoàng băng giá. Một người phụ nữ xinh đẹp đứng nhắm mắt bên trong một khối băng khổng lồ.



	=======================================





Số 325





	“Người này chính là Nữ hoàng băng giá, xinh đẹp như lời đồn.”



	“800 năm trước, có một thời kỳ mà các pháp sư bị coi là phù thủy. Theo một cách nào đó, bạn có thể gọi họ là những người phụ nữ xấu số.”



	Amy kể một giai thoại ngắn về Nữ hoàng băng giá.



	Nữ hoàng băng giá ban đầu là một phù thủy.



	Vào thời đó, chế độ thần quyền cai trị nên mọi người phải sống ẩn dật, nhưng không có cách nào che giấu được vẻ ngoài xinh đẹp của mình.



	Khi tin tức về vẻ đẹp của người phụ nữ này lan truyền đến cung điện, vị vua già đã đích thân triệu tập bà. Ông đã yêu bà ngay từ cái nhìn đầu tiên và phong bà làm hoàng hậu.



	Nhưng, sau khi sống cả cuộc đời được Thánh Dòng theo đuổi, bóng tối đã dần lớn dần trong trái tim bà.



	Hàng trăm người vô tội đã bị tra tấn đến chết nhân danh các thí nghiệm ma thuật.



	Khi mọi người chết đi, phép thuật của Nữ hoàng ngày càng mạnh hơn. Khi phép thuật ngày càng mạnh hơn, Nữ hoàng phát điên.



	Rất hiếm khi một phù thủy phát điên, vì bản thân nghề này là một nghề giúp tăng cường trí óc.



	Tuy nhiên, nếu tâm trí bị hủy hoại vì bất kỳ lý do gì, một tình huống nghiêm trọng sẽ xảy ra ở cấp độ khác so với bệnh tâm thần của người bình thường.



	Khi tâm trí và phép thuật hòa làm một, sức mạnh phép thuật sẽ không thể kiểm soát được nữa.



	Các phù thủy gọi hiện tượng này là phép thuật ghép đôi.



	Nữ hoàng điên cuồng đóng băng mọi thứ xung quanh.



	Căn phòng của cô, với những khối băng treo lơ lửng, trông giống như một hang băng ở Bắc Cực.



	Đồ nội thất như giường và bàn trang điểm, cũng như người hầu và người hầu phục vụ đều bị chết cóng.



	Khi mọi chuyện trở nên mất kiểm soát, nhà vua đã xây một lâu đài nhỏ ở Les Mountains và phong bà làm hoàng hậu ở đó. Nó giống như một cuộc lưu đày hơn là một nữ hoàng.



	Nhưng ngay cả ở đó, trò hề của Nữ hoàng vẫn không dừng lại.



	Đối tượng đầu tiên của thí nghiệm là hàng chục người hầu. Khi tất cả đều chết, việc tiếp theo họ làm là bắt những người đó và tiếp tục những thí nghiệm tàn khốc.



	Sau một năm, không còn ai ở lại lâu đài nhỏ ở dãy núi Les.



	Nhưng nữ hoàng đã hài lòng, vì sau một thời gian dài thử nghiệm, cuối cùng bà đã đạt được trạng thái mà bà mong muốn.



	"Ta sẽ ngủ ở nơi mà ngay cả thời gian cũng đóng băng. Khi ta trở về, thế giới sẽ quỳ dưới chân ta."



	Nữ hoàng đã niệm câu thần chú cuối cùng, nhốt mình trong một khối băng khổng lồ.



	Đó là giai thoại xoay quanh lần xuất hiện cuối cùng của Nữ hoàng băng giá mà Shirone nhìn thấy.



	“Ừm, tôi hiểu rồi.”



	Shirone tiến lại gần Nữ hoàng băng giá một chút.



	Sau khi nghe giai thoại, cảm thấy thật. Cảnh tượng anh ta nhắm mắt và ngủ đông thực sự giống như một người từ 800 năm trước đang ngủ.



	Amy kể xong câu chuyện của mình.



	“Có lẽ cô ấy bị giày vò bởi tội lỗi ngay cả khi tinh thần bị hủy hoại? Đó là lý do tại sao cô ấy cống hiến hết mình cho phép thuật có thể đóng băng cô ấy.”



	“Điều đó có thể đúng. Nếu đúng như vậy, thì thật sự rất tuyệt vời.”



	Một phù thủy không thể chết vì phép thuật mà mình tạo ra.



	Mặc dù về mặt lý thuyết không phải là không thể, nhưng cần phải có một ý chí mạnh mẽ hơn cả toàn năng để có thể thực hiện một câu thần chú tự hủy diệt.



	"Nếu Linh Vực bị chấn động, ma pháp sẽ không có tác dụng, đây là điều mà ngay cả ma pháp sư bình thường cũng không thể thử nghiệm."



	“Ừm, có lẽ nó có liên quan đến hiện tượng kết hợp sức mạnh ma thuật?”



	Shirone vuốt cằm và chìm vào suy nghĩ.



	Amy bật cười trước vẻ ngoài nghiêm túc không cần thiết của anh.



	“Có gì nghiêm trọng chứ? Dù sao thì đó cũng chỉ là truyền thuyết thôi. Thậm chí còn không rõ Nữ hoàng băng giá có phải là người thật hay không. Thậm chí còn có một giả thuyết cho rằng cô ấy được tạo hình dựa theo một nữ hoàng hung bạo thời đó. Người bị mắc kẹt trong băng giá lúc này chỉ là một con búp bê sáp.”



	Shirone cũng biết rằng Lễ hội mùa đông không dựa trên lịch sử có thật.



	“Đúng vậy. Nhưng nó thực sự có cảm giác như thật.”



	Amy cũng thừa nhận sự tinh tế của con búp bê. Thật tự nhiên khi cô ấy bỏ nhiều công sức vào nó, vì nó là trung tâm của lễ hội.



	Shirone và Amy tiến lại gần và kiểm tra nữ hoàng bị mắc kẹt trong băng.



	Vào lúc đó, ánh mắt của Nữ hoàng băng giá lóe lên.



	“Ghê quá! Cái quái gì thế này!”



	Shirone và Amy cùng lúc ôm nhau và lùi lại.



	Các du khách quay đầu lại khi nghe tiếng hét, nhưng nhanh chóng nhận ra chuyện gì đang xảy ra và bật cười.



	Amy nhận ra mình đang ở trong vòng tay của Shirone nên vội vã trốn thoát.



	Khuôn mặt cô đỏ bừng vì xấu hổ, cô giậm chân xuống sàn và hét lên.



	"Này, đồ ngốc! Có một thiết bị trên sàn nhà. Nếu bạn bước lên nó, mắt của con búp bê sẽ mở ra."



	“Ai mà biết được? Và anh cũng ngạc nhiên nữa.”



	“Ai kinh ngạc chứ? Là do giọng nói của anh quá lớn. Dù sao thì đàn ông cũng rất sợ hãi.”



	Shirone chỉ vào khuôn mặt tái nhợt của Amy.



	“Haha! Mặt anh tái nhợt thế này sao?”



	“……Ồ, thật sao? Ta có nên làm cho sắc mặt của ngươi tái nhợt hơn không? Nếu ta nôn ra bụng, ngươi sẽ thành súp mất.”



	Khi Amy tiến lại gần, vuốt ve nắm đấm của cô, Shirone tránh ánh mắt và lẩm bẩm trong khi nhìn xuống sàn nhà.



	“Nếu anh ngạc nhiên thì cứ nói là ngạc nhiên đi. Tôi không phải là gangster hay gì cả……”



	“Cái gì? Một tên côn đồ? Đúng vậy, tôi là một tên côn đồ. Tôi có thể làm gì?”



	Amy, nắm đấm sắc nhọn, chọc vào hông Shirone. Shirone, xương sườn đau nhói, chạy xuống hành lang, tay vung vẩy.



	“Hahaha! Đừng làm thế! Nhột lắm!”



	“Ngươi chạy đi đâu vậy! Sao không đến đây?”



	Giọng nói của hai người vang vọng khắp hội trường.



	Khách du lịch thậm chí còn không quan tâm.



	Bởi vì nơi này là nơi diễn ra lễ hội và là địa điểm hẹn hò tuyệt vời cho những người yêu nhau.



	Tuy nhiên, ba học sinh từ Học viện Ma thuật Ains không thể rời mắt khỏi Shirone và Amy sau khi phát hiện ra họ.



	Nói chính xác hơn, họ là những sinh viên đã đỗ tốt nghiệp năm nay.



	Trường phép thuật Ains, một trong hai trường phép thuật ở Creas, không danh tiếng bằng Trường phép thuật Alpheus, vì vậy không được nhiều người biết đến.



	Quan trọng nhất, ngay cả sau khi tốt nghiệp, bạn cũng không thể tự động lấy được giấy phép hành nghề ảo thuật như khi học ở một trường danh tiếng.



	Tất nhiên, đúng là hầu hết các hội sẽ cấp cho bạn giấy phép phép thuật nếu bạn chỉ cần nộp bằng tốt nghiệp. Tuy nhiên, đúng là tôi cảm thấy tổn thương lòng tự hào của một người bạn tốt nghiệp khi nghĩ đến những đặc quyền dành cho những người tốt nghiệp từ các trường danh tiếng.



	“Cặp đôi kia… không phải họ rất nổi tiếng sao?”



	"Rudbeck," anh ta nói và gật đầu về phía lan can.



	Anh ta cao như cây sào, tóc xoăn và đeo kính râm cao khiến anh ta trông già hơn nhiều so với tuổi.



	"Ồ vậy ư?"



	Vivian cũng nhận ra Shirone và Amy ngay từ cái nhìn đầu tiên. Cô ấy là một cô gái có đôi mắt hơi sụp mí, và kẻ mắt đậm hơn những người khác.



	Giống như hầu hết học sinh tại Trường Phép thuật, họ là những người thường xuyên đăng ký Tạp chí Linh hồn.



	Phần lớn không gian được dành cho phần giới thiệu về các trường danh tiếng và sinh viên của các trường này, nhưng doanh số bán tạp chí học thuật lại cao hơn nhiều đối với các trường không danh tiếng.



	Đối với các trường danh tiếng, không cần phải mua sách để đọc các bài viết về trường mình theo học hoặc các trường đối thủ.



	"Arian Sirone và Carmis Amy. Ồ? Nghĩ lại thì, Jokre, anh biết Amy, đúng không?"



	“Tất nhiên là tôi biết rất rõ.”



	Jockrey, thủ lĩnh của nhóm, mím môi.



	Anh ta có chiều cao trung bình, mái tóc rối bù, đôi mắt hẹp và đôi môi mỏng, bộc lộ tính cách bướng bỉnh.



	Đối với Jocrae, Trường phép thuật Alpheus là một quá khứ đau thương.



	Lý do là vì tôi đã học ở đó cho đến năm mười ba tuổi rồi chuyển đến Trường Phép thuật Ains.



	Việc anh đã tỏ tình với Amy ngay trước khi chuyển trường và sau đó bị từ chối là một bí mật mà ngay cả Ludvans hay Vivian cũng không biết.



	Tất nhiên, tôi không chuyển trường chỉ vì bị một cô gái đá.



	Sẽ không ngoa khi nói rằng những tài năng xuất sắc nhất trong vương quốc đều tập trung tại năm ngôi trường danh giá hàng đầu, chẳng hạn như Trường Phép thuật Alpheus.



	Bất kỳ ai có tài năng ở mức trung bình chỉ có thể sử dụng nó như một loại phân bón cho thiên tài.



	Jokre cảm thấy mình không thể chiến thắng cuộc thi nên tìm cách khác bằng cách chuyển trường.



	Trên thực tế, có rất nhiều học sinh theo học tại những trường danh tiếng nhưng vẫn không tốt nghiệp ngay cả khi đã lớn tuổi.



	Từ góc độ đó, có thể nói rằng phán đoán của Jokre là tuyệt vời.



	Nhưng nếu nhìn vào thực tế, rất hiếm khi học sinh chuyển từ trường danh tiếng sang trường không danh tiếng.



	Có lẽ là do các trường học danh tiếng có lòng tự hào riêng của họ.



	Theo quan điểm của sinh viên, việc tránh cạnh tranh và tìm một con đường khác có vẻ giống như việc bỏ chạy.



	Trước khi vào trường học phép thuật, tất cả bọn họ đều được ca ngợi là thiên tài, nên lòng tự trọng cao của họ chắc hẳn đã đóng một phần vai trò.
