Số 92





	“Tên của bạn là Harvest.”
	“Nào, nào! Trời đẹp thế này, chúng ta hãy uống cho đến khi mũi cong lại. Tôi đã đặt chỗ ở quầy bar rồi, nên hãy để lại bộ não và mang theo dạ dày.”



	Alpheus, người cuối cùng đã thoát khỏi đòn siết cổ, mỉm cười xin lỗi và nói.



	"Ồ, tôi không nghĩ là có thể làm ngay được. Tôi sẽ ra ngoài một lát."



	“Cái gì? Có gì vui khi nâng ly nếu nhân vật chính đã biến mất?”



	“Tôi về nhà đây. Tôi muốn tặng vợ tôi một tấm huy chương.”



	Ngay cả Clump cũng không thể ngăn cản họ. Erina đã kết hôn cách đây một năm, nhưng do sự phản đối của cả hai gia đình, cô không nhận được bất kỳ sự hỗ trợ nào và buộc phải sống trong một ngôi nhà nhỏ mới cưới ở một khu vực chung.



	Điểm khởi đầu là gia đình Mirhi. Không đời nào họ đồng ý cho con trai mình, người mà họ đã gửi đi du học, kết hôn với một người phụ nữ ngu ngốc.



	Sau đó, gia tộc Bastard không hề lùi bước mà đáp lại, mặc dù đều là quý tộc nhất phẩm, nhưng giữa các tỉnh và kinh đô lại có sự khác biệt rõ ràng, cho nên bọn họ cũng không có lập trường gì, cho dù con gái mình có chút thiếu sót cũng sẽ không chùn bước.



	Cuối cùng, Alpheus và Erina không còn lựa chọn nào khác ngoài việc tổ chức một buổi lễ cưới không chính thức chỉ với sự tham dự của bạn bè.



	“Tôi hiểu rồi. Anh có chị dâu. Sao anh không dẫn chị ấy tới đây?”



	“Được rồi. Có bà vợ nào muốn chồng mình chơi bời như một gã say rượu không? Tôi ra ngoài một lát thôi.”



	"Đồ khốn nạn, ngươi cũng có chút hiểu biết, vậy thì nhanh lên đi."



	“Tôi sẽ sớm quay lại thôi. Trước tiên hãy đến quán bar!”



	Alpheus chạy trốn khỏi lâu đài như thể anh ta đang chạy trốn. Anh ta đã đắm chìm vào nghiên cứu của mình cả ngày lẫn đêm, và sức lực của anh ta đã cạn kiệt, nhưng hôm nay, anh ta không thở hổn hển.



	'Được rồi! Tôi đã làm được rồi!'



	Anh đã nhận được giải thưởng danh giá nhất trong vương quốc. Với thành tích như vậy, gia đình Mirhi sẽ không còn lựa chọn nào khác ngoài việc chấp nhận anh một lần nữa, vì vậy việc tổ chức một lễ cưới tâm linh với Erina không chỉ là một giấc mơ.



	“Em yêu, anh về rồi.”



	Erina biết rằng đó là ngày quyết định người chiến thắng. Nếu là bất kỳ ngôi nhà nào khác, họ sẽ chuẩn bị một bữa tiệc bất ngờ, nhưng cô ấy vẫn bước ra khỏi bếp như ngày hôm qua.



	“Bạn có ở đây không? Bạn đã ăn chưa?”



	=======================================





Số 94





	Alpheus thích cô như vậy. Ngay cả khi cô có trí thông minh của một đứa trẻ mười tuổi, thì suy nghĩ của cô cũng không phải của một đứa trẻ mười tuổi. Cách cô nghĩ về sự thất vọng của chồng mình khi mất giải thưởng đã khiến anh rơi nước mắt.



	“Anh yêu, em….”



	Alpheus run rẩy lấy chiếc huy chương vàng ra.



	“Tôi đã làm được! Tôi đã cưỡi nó! Đó là Giải thưởng Gold Circle!”



	Erina luôn bình tĩnh và điềm đạm, nhưng lần này, đôi mắt lấp lánh như muốn chứa cả thế giới của cô không khỏi dao động. Ngày mà Alpheus nói nhiều như vậy thực sự đã đến.



	“Chúc mừng nhé. Tôi biết là anh có thể làm được mà.”



	“Erina, tất cả đều là nhờ em. Em đã làm hết thảy. Đến đây đi. Anh sẽ dẫn em đi.”



	Alpheus nghĩ rằng Erina là chủ nhân thực sự của Gold Circle. Tất nhiên, Clump trung thực không hiểu. Anh ta nghĩ rằng Alpheus, người giải mã được ý nghĩa thực sự của Erina, còn tuyệt vời hơn những lời nói ngây thơ của Erina. Tuy nhiên, Alpheus biết. Ý tưởng nhỏ bé xuất phát từ đầu Erina sẽ trở thành mã cốt lõi chịu trách nhiệm cho tương lai của nhân loại.



	“Đây là giải thưởng của bạn. Ý tưởng của bạn đã làm chấn động thế giới.”



	Khi Alpheus tiến lại gần với đôi môi trề ra, Erina lùi lại như một cô dâu mới cưới và nói.



	“Anh phải ăn, nhanh lên.”



	“Ồ, xin lỗi. Clump đang mở tiệc, nên tôi phải đi. Tôi sẽ ăn sau.”



	“Ồ, được thôi.”



	Lần này, Erina không giấu được sự thất vọng. Sau đó, Alpheus cười như một đứa trẻ tinh nghịch và bế cô lên.



	“Điều đó có nghĩa là bạn cũng nên tiết kiệm thời gian cho việc ăn uống.”



	“Ồ!”



	Alpheus chạy lên cầu thang đến tầng hai trong khi bế Erina trên tay.



	“Khoan đã! Nếu cứ tiếp tục như vậy, bánh mì sẽ bị cháy mất.”



	“Bảo anh ta lên đi! Nếu không, tôi sẽ lên!”





	Sau khi Alpheus nhận được giải thưởng, hàng chục lời mời bay đến mỗi ngày. Tất cả đều từ các quý tộc hoặc tổ chức có uy tín. Hòa hợp với mọi người có nghĩa là không hòa hợp với ai cả. Anh nhanh chóng nổi tiếng bằng cách từ chối các mối quan hệ ngoài những mối quan hệ anh cần và tăng giá. Là một phần của chiến lược này, Alpheus đã rời nhà hôm nay để tham dự một bữa tối do Alchemy Foundation mời. Vì đây là một tổ chức xử lý 40% giao dịch vật liệu ma thuật, nên đây là sự kiện anh hoàn toàn không thể bỏ lỡ.



	Tuy nhiên, Sarov và bạn bè của anh ta, không biết về sự thật này, đã cắm trại trước nhà Alpheus từ trước khi mặt trời lặn. Lòng họ vô cùng lo lắng khi chờ đợi buổi tối đến.



	Sarov thở dài và nói.



	“Ha, điều đó làm tổn thương lòng tự trọng của tôi.”



	“Có phải là vấn đề về lòng kiêu hãnh không? Mặc dù giá trị của anh ta đã tăng lên, nhưng nó đã tăng quá nhiều. Ý tôi là Alpheus. Anh ta không chỉ là một người giỏi về phép thuật. Tôi nên mong đợi điều đó ngay từ đầu.”



	Sarov cũng rất hối hận. Khi nhận Giải thưởng Vòng tròn Vàng, anh ta nên hòa nhập với đám đông và giải quyết mối hận thù của mình. Mới chỉ một tháng kể từ khi nhận giải thưởng, nhưng danh tiếng của Alpheus đã phát triển đến một mức độ đáng kinh ngạc. Tất cả những điều này là nhờ vào kỹ năng chính trị xuất sắc của anh ta. Bây giờ Alpheus đang kén chọn, những khoảng trống mà Sarov có thể chen vào chỉ càng hẹp hơn.



	'Ôi trời. Tôi đã cố không cúi đầu, nhưng giờ tôi phải quỳ. Tại sao chuyện này lại không xảy ra?'



	Đó là một vấn đề mà tôi không thể tìm ra câu trả lời cho dù tôi có nghĩ về nó nhiều đến thế nào. Nếu có gì, thì đó là một sự an ủi khi tôi có bạn bè đi cùng, vì vậy sẽ bớt xấu hổ hơn một chút.



	“Chúng ta hãy từ từ đi vào. Tôi sẽ nói chuyện.”



	Sarov dẫn đầu và gõ cửa nhà Alpheus.



	“Alpheus có ở đây không? Tôi là Sarov.”



	Người mở cửa và đi ra không ngờ lại là Erina.



	"Bạn là ai?"



	“Ồ, bà đây rồi, thưa bà. Tôi không biết bà có nhớ tôi không, nhưng tên tôi là Sarov, một học trò của Alpheus. Anh ấy có ở nhà Alpheus không?”



	“Không. Chồng tôi đã mất rồi. Anh ấy đang ở Alchemy Foundation.”



	Tôi biết sẽ có một bữa tiệc tối tại Alchemy Foundation. Nhưng đó không phải là một bữa tiệc rượu, vì vậy sẽ không mất nhiều thời gian. Sarov lịch sự nói, nghĩ rằng đó là một điều tốt.



	“Tôi hiểu rồi. Nếu anh không phiền, tôi có thể vào trong đợi không? Có rất nhiều người đang xem và những thứ khác…….”



	Đã đủ xấu hổ khi phải đi cả một chặng đường dài đến tận nhà rồi, nhưng nếu tôi còn loanh quanh trước cửa thì chắc chắn tôi sẽ gặp rắc rối.



	“Vâng, xin mời vào.”



	Sarov ngồi trong phòng khách với bạn bè, xoa tay đầy lo lắng. Có lẽ là thấy tiếc khi phải gặp họ, nên Erina gọi họ đến bàn và đãi họ một ít đồ ăn nhẹ và đồ uống.



	“Cô nên ăn gì đó đi. Chồng cô sẽ ở đó và ăn.”



	“Cảm ơn anh. Anh rất tốt bụng.”



	Sarov khá xấu hổ, hối hận vì không mang theo quà tặng. Anh đã mua nó để phòng hờ, nhưng khi sắp nhận nó, anh buồn bã đến mức không thể chịu đựng được.



	Không phải là anh ta thiếu kỹ năng. Mặc dù anh ta đã cắt đứt quan hệ với hai gia đình lớn của Alpheus và Erina, Sarov tin rằng danh tiếng của anh ta như một người hạng nhất sẽ có một số ảnh hưởng đến đánh giá của anh ta.



	Khi tôi uống đồ uống của mình với suy nghĩ đó trong đầu, tôi nhanh chóng say. Lúc đầu, tôi giữ nguyên trong khi cảm thấy lo lắng, nhưng ngay khi tôi cảm nhận được mức độ thông minh của Erina, tôi thấy mình thư giãn mà thậm chí không nhận ra điều đó.



	"Tôi, ý tôi là! Tôi đã từng được gọi là thiên tài. Tôi, tôi!"



	“Ai nói không? Thế giới này bất công quá! Những người làm việc chăm chỉ thì chết, trong khi những người khác được thăng chức nhờ có mối quan hệ! Ma thuật đã chết rồi!”



	Một bên lông mày của Sarov nhướn lên trước lời nói của bạn mình. Người mà bạn mình đang chỉ trích không ai khác chính là Alpheus. Tuy nhiên, anh ta để yên. Erina có lẽ sẽ không biết anh ta đang nói về điều gì. Đột nhiên, rượu có vị ngon. Có lẽ đây là lần đầu tiên anh ta đánh bại Alpheus? Anh ta có thể chỉ trích anh ta to tiếng như vậy trước mặt vợ mình.



	'Ugh, thằng nhóc đó đã sỉ nhục tôi nhiều đến thế. Chuyện này chẳng có gì, chẳng có gì.'



	Sarov tiến thêm một bước nữa và nói chuyện với Erina.



	“Đúng không chị dâu? Ma thuật không phải là thứ có thể làm được chỉ bằng kỹ năng. Chị dâu, chị có đồng ý không?”



	“Vâng, tôi không biết.”



	“Hahaha! Tất nhiên rồi. Anh không biết đâu. Nhưng đó là sự thật. Mọi thứ tôi nói đều là sự thật.”



	Sarov tận hưởng niềm vui chiến thắng. Anh ta chỉ trích Alpheus và thậm chí chế giễu vợ anh ta. Bạn bè của anh ta, những người đã phát hiện ra ý định của Sarov, cũng tham gia, đập bàn.



	“Chị dâu, không khí rất tốt, sao chị không hát một bài nhỉ?”



	“Được! Hãy chọn một bài hát để ăn mừng thành công của Alpheus.”



	Nụ cười của Erina cứng lại. Mọi người nghĩ rằng nếu bạn có trí thông minh thấp, bạn sẽ không biết gì cả. Tuy nhiên, đọc cảm xúc của người khác luôn là vai trò của kẻ yếu. Erina cũng biết rằng Sarov và nhóm của anh ta không thân thiện. Tuy nhiên, cô vẫn cố gắng chấp nhận họ vì họ là bạn của chồng cô.



	“Khi lúa mì ở quê tôi chín….”



	Khi Erina bắt đầu hát, nhóm Sarov vỗ tay và huýt sáo. Ngay cả trong tất cả những điều này, cô vẫn tiếp tục hát với giọng run rẩy.



	Nhưng trước khi tôi kịp hát được ba câu, một giọng nói lạnh lùng vang lên từ phòng khách.



	"Bây giờ bạn đang làm gì?"



	Bất kể là ai, anh ta quay đầu lại. Alpheus đang đứng đó với khuôn mặt đỏ bừng và nắm chặt tay. Sarov tỉnh táo lại. Khi anh ta tỉnh lại, cuối cùng anh ta cũng nhận ra mình đang làm gì.



	“Ừm, tôi xin lỗi. Tôi đoán là chúng tôi đã uống quá nhiều.”



	"Mày là đồ khốn nạn!"



	Alpheus sải bước về phía trước và vung nắm đấm. Sarov, người bị đánh thẳng vào mặt, lăn tròn trên mặt đất. Sau đó, bạn bè của anh ta nhảy lên và hét lên.



	“Alpheus! Đây là loại chuyện tàn nhẫn gì vậy! Dù ta có tức giận đến thế nào đi nữa……!”



	“Không, không sao đâu. Tôi sẽ dừng lại.”



	Sarov giơ tay ngăn bạn bè lại. Anh cảm thấy xấu hổ về bản thân mình. Có phải tôi chỉ là một kẻ thua cuộc tìm thấy sự thoải mái khi trêu chọc vợ của đối thủ?



	“Cút đi, trước khi tôi giết anh. Cút khỏi căn nhà này ngay!”



	“Tôi xin lỗi về chuyện xảy ra hôm nay. Tôi sẽ không đến đây nữa.”



	Sarov và bạn bè của anh ta bị đuổi khỏi nhà Alpheus. Sự im lặng bao trùm phòng khách sau khi những kẻ đột nhập rời đi. Alpheus không thể ngăn cơn giận dữ đang dâng trào. Anh ta biết tại sao họ lại bắt Erina hát.



	“Chuyện gì đã xảy ra vậy? Tại sao bọn trẻ lại ở đây?”
