Số 248





	Sự im lặng bao trùm nơi cơn gió đã đi qua.
	Nade chỉ vào Pascal của Dante.



	“Đúng vậy. Dante đã tạo ra một bộ não khác. Vòng tròn ma thuật ở trung tâm, vòng tròn ma thuật đó rõ ràng đang hội tụ sức mạnh của Dante và phân phối song song.”



	Dự đoán của Naid đã đúng. Pascal là một vòng tròn ma thuật lưu trữ dòng điện chạy trong đầu phù thủy vào bộ nhớ và sau đó xử lý nó thông qua các hoạt động song song.



	Dante, người kích hoạt Pascal, không bao giờ phòng thủ. Thay vào đó, anh ta nghiền nát đối thủ của mình bằng hỏa lực cực mạnh.



	Như để chứng minh cho sự thật đó, tất cả các phép thuật cơ bản có thể học được ở trường đều xuất hiện.



	Shirone không dừng các cuộc tấn công của mình. Chắc chắn đó là một kỳ tích tuyệt vời khi tạo ra những ký ức ảo và diễn ra những suy nghĩ nối tiếp nhau song song.



	Tuy nhiên, nói một cách nghiêm ngặt, không có lợi thế nào khi nối tiếp-song song. Trong mạch song song, công suất riêng lẻ chắc chắn sẽ giảm.



	Đó là bằng chứng cho thấy mọi phép thuật được tạo ra từ vòng tròn ma thuật của Dante đều là phép thuật cơ bản.



	'Không còn thời gian nữa. Phải kết thúc ngay thôi.'



	Không còn nhiều thời gian để duy trì cõi vô hạn. Bây giờ là lúc duy nhất Dante có thể bị áp đảo bởi vũ lực.



	Shirone dùng hết sức bắn pháo photon. Tuy nhiên, sau khi đi qua một đoạn nhất định, tốc độ của anh ta đột nhiên chậm lại.



	Khi các photon của ánh sáng phụ chậm lại với tốc độ tương đương với tốc độ của một con ốc sên, Shirone nhìn về phía trước. Và rồi anh nhận ra.



	Hàng trăm vòng tròn ma thuật mà Dante triển khai đang tạo thành những nhóm nhỏ và tác động lên những không gian cụ thể.



	Nếu bạn kết nối các vòng tròn ma thuật tạo thành nhóm với một bề mặt tưởng tượng, chúng sẽ tạo thành một khối lập phương giống như một con xúc xắc, và một phép thuật cụ thể sẽ được kích hoạt bên trong nó.



	Nade hét lên với vẻ mặt bối rối.



	“Một ngôi biệt thự 3D? Học sinh có thể sử dụng nó sao?”



	Dante đã lắp ráp một vòng tròn ma thuật phẳng hai chiều thành một cấu trúc ba chiều.



	Pháo Photon của Shirone cũng bị chậm lại khi tiến vào dinh thự được chỉ định bởi sáu vòng tròn ma thuật chậm cách nhau 5 mét.



	Khi nói đến số lượng mạch điện có thể tích hợp vào một không gian hạn chế, ngôi nhà ba chiều có thể chứng minh hiệu quả đáng kinh ngạc vượt qua giới hạn của một bề mặt phẳng.



	=======================================





Số 250





	Shirone cuối cùng cũng dừng lại cuộc tấn công của mình. Các mạch song song riêng lẻ sẽ yếu về công suất, nhưng nếu chúng được kết hợp để tạo thành một biệt thự, chúng có thể tạo ra sức mạnh khuếch đại không thể so sánh với mạch nối tiếp.



	Ngoài ra, do bản chất của mạch ba chiều, mô hình phân phối xuất hiện khác nhau tùy thuộc vào điểm quan sát. Do đó, không thể xác định sáu vòng tròn ma thuật tạo nên một biệt thự cụ thể là gì.



	Nguyên lý này cũng giống như khi bạn chấm những chấm trên một tờ giấy trắng rồi vẽ một hình vuông, bạn sẽ thấy nó ngay, nhưng khi bạn vẽ nó theo dạng ba chiều, bạn sẽ không thể phân biệt được.



	“Shirone, cô nghĩ sao? Cô cũng có thể tránh được chuyện này sao?”



	Ngay khi Dante vừa nói xong, sáu vòng tròn ma thuật hệ không khí di chuyển, nhốt Sirone trong Biệt thự Áp suất.



	“Ồ!”



	Ngay lúc Shirone cảm thấy sức nặng trên sống lưng mình, một tia sét màu xanh lam lao vào trung tâm của ngôi biệt thự điện đang lơ lửng phía trên đầu Dante.



	Khi chùm tia điện mạnh được bắn ra, không khí nơi dòng điện đi qua bị đốt cháy hoàn toàn, cùng với tiếng ồn chói tai của các điện tích va chạm.



	Bất kể Shirone trốn ở đâu, đòn tấn công vẫn theo cô. Điều này là do đầu ra photon từ Photon Mansion đang phát hiện tọa độ của Shirone theo thời gian thực.



	"À…."



	Shirone cảm thấy choáng váng. Anh không cảm thấy mình đang chiến đấu với một người. Anh cảm thấy mình đang chiến đấu với một con tàu buồm vũ trang được trang bị nhiều loại vũ khí.



	Shirone lăn trên mặt đất để tránh ngọn giáo băng đang đập xuống theo chiều dọc. Một âm thanh cháy có thể được nghe thấy gần mặt đất khi thế giới xoay tròn. Khi cô ấy niệm một phép thuật photon hóa và nảy eo, Bom nguyên tử phát nổ gần như cùng lúc.



	Các sinh viên vô cùng kinh ngạc trước sức mạnh đáng kinh ngạc của Dante.



	“Ôi trời ơi… Đó là loại phép thuật gì vậy?”



	Mark cũng nghĩ rằng điều đó thật vô lý. Ngay cả khi Pascal có thể xử lý song song, bộ não con người vẫn kiểm soát toàn bộ mọi thứ. Quản lý hàng trăm vòng tròn ma thuật là điều vượt quá khả năng của con người.



	Iruki quay lại nhìn Naid. Nhìn vẻ mặt nghiêm túc hơn bao giờ hết của anh, có vẻ như anh đã nhận ra điều gì đó.



	“Nade, nói gì đó đi. Tôi thực sự không biết.”



	“Đó là… thứ gì đó gọi là máy móc tự động.”



	“Người máy?”



	“Máy móc tự động. Nó bao gồm việc ghép nhiều bánh răng lại với nhau, sau đó di chuyển bánh răng đầu tiên. Sau đó, bánh răng cuối cùng sẽ đưa ra một giá trị cố định. Đây là một cơ chế đơn giản, nhưng nếu quá trình này được tăng lên đến mức thiên văn, thì có thể thực hiện những việc có vẻ rất khó khăn. Giống như đầu ra photon theo dõi tọa độ của Sirone, hoặc nhanh chóng chuyển đổi biệt thự.”



	Shirone đã đích thân trải nghiệm sức mạnh của máy tự động. Bất kể bạn phản ứng thế nào, máy tự động đều tự động tính toán và phản ứng, biến nó thành một lâu đài bất khả xâm phạm.



	Đó là phép thuật cơ bản, nhưng sức mạnh được tăng cường bởi dinh thự không phải là phép thuật cơ bản. Shirone, người lăn trên mặt đất để tránh đòn bắn phá, vội vã tìm kiếm Dante, nhưng anh ta bị chôn vùi trong hàng trăm vòng tròn ma thuật và không thể nhìn thấy.



	Những vòng tròn ma thuật lơ lửng xung quanh trông giống như cái nhìn của một con quái vật có hàng trăm con mắt.



	“Êêêêê!”



	Shirone cảm thấy một cảm giác kỳ lạ và điên cuồng bắn Pháo Photon. Người máy phản ứng ngay lập tức. Khi Pháo Sét, được nạp đầy năng lượng từ Biệt thự Bolt, bắn ra, sức mạnh chói lòa khắc một tia sáng duy nhất vào không gian và Pháo Photon nổ tung như một quả bóng bay.



	Khi Lightning Cannon sượt qua bên hông Shirone, chỉ riêng điều đó đã kích hoạt Anti-Magic. Trong khi Shirone loạng choạng, con robot đã giải phóng toàn bộ phép thuật mà nó có. Vô số phép thuật thiêu rụi toàn bộ bán kính.



	Pascal, người đã cạn kiệt toàn bộ năng lượng có sẵn, dừng lại với một âm thanh kỳ lạ. Khi khói tan, Sirone lộ ra, đang giữ chặt một bên vai. Sau một lúc, đầu gối anh ta khuỵu xuống và khuỵu xuống, và cuối cùng anh ta ngã xuống sàn.



	“Lần này, Shirone đã ngã gục.”



	Một lần hạ gục không phải là vấn đề. Thực tế là Antimagic đã xâm nhập đúng cách có nghĩa là độ bền của Shirone đã bị nứt, và điều đó có nghĩa là Chức năng Bất tử đã kết thúc.



	“Thật sự tuyệt vời.”



	Ngay cả Alpheus cũng không khỏi kinh ngạc lần này. Vòng tròn ma thuật song song Pascal và dinh thự ba chiều đã tăng cường sức mạnh của nó. Hệ thống Dante, thậm chí còn có chức năng tự động hóa dựa trên máy móc, có thể so sánh với một tác phẩm nghệ thuật đã đạt đến đỉnh cao của chức năng.



	Tôi biết mình có thể ghép automata vào phép thuật thông tin. Đó là một thử thách mà không một pháp sư chuyên nghiệp nào có thể dễ dàng hoàn thành. Không, ngay cả khi Dante có tài năng tốt nhất, thì một học viên cũng không thể hoàn thành được.



	Nếu có thể, chỉ nên giả định một điều là đúng.



	“Bạn có sử dụng nhị phân không?”



	Olivia im lặng. Nhưng Alpheus nhận ra điều đó. Họ chắc chắn đang xử lý số nhị phân. Anh nghĩ đến chủng tộc duy nhất sử dụng hệ thống ma thuật gồm 1 và 0.



	“Từ khi nào… Dante học được ngôn ngữ của loài rồng vậy?”



	Nụ cười nở trên môi Olivia. Nếu cô đã chắc chắn về điều gì đó, thì không cần phải che giấu nữa.



	“Có vấn đề gì vậy? Mặc dù ma thuật rồng là hệ nhị phân, nhưng nó không chỉ dành riêng cho rồng.”



	“Con người có thể hiểu được hệ nhị phân, nhưng có thể sử dụng hệ nhị phân như một ngôn ngữ lại là một chuyện khác.”



	Alpheus đột nhiên nhận ra.



	“Chẳng lẽ…… hắn sinh ra đã có nó?”



	"Lúc đầu tôi cũng không tin. Nhưng đó là sự thật. Giống như sự sáng suốt của Shirone hay hội chứng người hầu của Iruki, Dante sinh ra đã có khả năng xử lý thông tin."



	Olivia nhớ lại những sự kiện xảy ra cách đây mười năm khi cô lần đầu gặp Dante.





	Trong thời gian làm hiệu trưởng Trường Phép thuật Hoàng gia, Vasuka nhận được lời mời dùng trà trong buổi họp mặt xã giao.



	Chủ nhà là Bianca, bà chủ của gia đình Erhein. Tổng cộng có sáu người, và tất cả bọn họ, ngoại trừ Olivia, đều là phụ nữ đã kết hôn.



	Những quý bà quý tộc trò chuyện trong khi thưởng thức tách trà được mang đến từ bên kia biển.



	Olivia cũng trò chuyện về những chủ đề mà cô ấy quan tâm, nhưng những câu chuyện phiếm của phụ nữ đã kết hôn cuối cùng lại chuyển sang chủ đề trẻ em.



	Bianca thở dài nói.



	“Đây thực sự là một vấn đề lớn. Con trai út của chúng tôi mới đây đã xin nghỉ phép và trở về nhà.”



	“Ôi trời, Dante là học sinh gương mẫu. Có chuyện gì xảy ra ở trường vậy?”



	Bianca lắc đầu với khuôn mặt tối sầm.



	“Tôi không biết. Gần đây anh ấy không nói chuyện với tôi. Anh ấy đến gặp tôi với khuôn mặt bầm tím, nói rằng anh ấy đã đánh nhau với bạn bè ở trường. Theo những gì tôi nghe được, có vẻ như rất nhiều người đã đánh anh ấy.”



	Khuôn mặt của những người phụ nữ ửng đỏ. Răng họ va vào nhau lập cập và tay họ run rẩy khi nghĩ đến việc con cái của họ bị đối xử như vậy.



	“Không, anh cứ để như vậy đi? Anh nên đến trường ngay và báo cáo đi.”



	“Tôi đã đến trường để làm điều tương tự. Nhưng tôi đã nghe thấy một điều gây sốc ở đó. Dante không nói chuyện với bạn bè của mình chút nào. Cậu ấy thậm chí không nhìn họ bất kể cậu ấy cố gắng nói chuyện với họ như thế nào. Lúc đầu, ngay cả giáo viên chủ nhiệm của cậu ấy cũng nghĩ rằng cậu ấy bị chứng mất ngôn ngữ.”



	“Ôi trời… Có lý do gì không?”



	“Tôi hỏi anh ấy bao nhiêu lần, anh ấy đều không nói gì với tôi. Dù sao thì tôi cũng đi tìm anh ấy, cảm thấy bầu trời sụp đổ, nên tôi chỉ mang theo Dante.”



	Olivia dừng lại trong tách trà của mình. Cô không có con, vì vậy cô sẽ không cho chúng vào, nhưng một khả năng đã xảy ra với cô.



	Bianca tiếp tục nói, chống cằm vào tay.



	“Ha, thế là tôi đã thả nó ra khỏi trường và đưa nó về nhà. Nhưng điều khiến tôi lo lắng là nó chỉ ngồi trong vườn cả ngày và nhìn chằm chằm xuống đất. Khi tôi hỏi tại sao, nó không bao giờ trả lời. Tất cả những gì tôi có thể làm là nhìn.”



	Người phụ nữ ngồi cạnh nắm lấy tay Bianca và nói.



	“Đừng lo lắng quá, Dante mười tuổi rồi, đến lúc phải suy nghĩ nhiều hơn rồi. Nghe nói con nhà quý tộc dậy thì sớm hơn thường dân nhiều.”



	“Tôi ước gì mọi chuyện được như thế, nhưng…….”



	Bianca không có cách nào để xoa dịu nỗi buồn trong lòng mình.
